"Subject","SUBJE0","SUBJE1","SUBJE2","SUBJE3","SUBJE4","SUBJE5","SUBJE6","WhiteOnlyFilter","PRace","PRace_Mix","PRACE0","PRACE1","PRACE2","PRACE3","PRACE4","PRACE5","PRACE6","PGender","PAge","AW_B","AWM_BM","AWF_BF","AW_EA","AWM_EAM","AWW_EAW","AW_SA","AWM_SAM","AWW_SAW","Therm_3","Therm_6","Therm_8","Therm_9","Therm_14","Therm_15","Therm_1","Therm_2","Therm_4","Therm_5","Therm_7","Therm_10","Therm_11","Therm_12","Therm_13","Therm_16","Therm_17","V8","V9","Consent"
"shrimpton2014                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,11,10,10,11,10,9,11,10,9,60,71,61,60,71,70,100,100,60,60,71,61,61,61,61,71,71,13637428029,13637429733,1
"Boden2014                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",18,41,45,47,30,39,35,30,72,72,39,80,32,40,77,87,81,81,50,9,61,38,52,5,15,64,76,13637516902,13637523252,1
"ellis6970                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",18,32,3,7,4,-4,10,4,12,18,57,89,64,73,67,80,36,73,85,51,61,71,70,55,62,81,77,13645202502,13645203850,1
"george1963                                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,50,60,60,40,40,40,40,81,81,50,100,40,40,100,100,100,100,60,19,100,60,60,19,19,100,100,13637099463,13637101832,1
"hewitt2209                                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,0,5,3,1,1,1,1,1,0,79,79,79,81,84,84,74,95,78,79,81,83,83,83,84,85,84,13636995478,13636998798,1
"knott                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",20,41,43,38,60,65,65,60,64,64,40,81,39,45,82,83,80,81,21,21,28,17,18,18,19,20,21,13640358061,13640360097,1
"maguire1234                                                                                                                                                                                                                                                    ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",20,22,30,22,43,39,32,43,37,33,61,83,50,70,80,92,51,81,40,41,81,41,60,43,59,80,92,13636929766,13636932191,1
"mck1502                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",18,0,-11,0,0,-11,0,0,-11,0,100,100,100,100,89,100,70,91,100,100,100,100,100,100,100,91,100,13640022661,13640024668,1
"middlebrooke1964                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,30,71,51,39,41,53,39,NA,81,60,90,9,40,80,91,70,90,51,19,39,39,38,NA,10,29,29,13645292140,13645295642,1
"r06c08                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",31,0,4,4,-1,19,7,-1,19,1,75,75,75,76,79,80,80,80,76,75,75,60,73,60,79,75,75,13637015010,13637021072,1
